food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species
191,Vaccinium corymbosum,Fruits,Berries,69266,genbank,species,69266,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium corymbosum
192,Vaccinium macrocarpon,Fruits,Berries,13750,genbank,species,13750,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium macrocarpon
193,Bilberry,Fruits,Berries,180763,genbank,species,180763,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium myrtillus
194,Vaccinium vitis-idaea,Fruits,Berries,180772,genbank,species,180772,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-idaea
196,Verbena officinalis,Herbs and Spices,Herbs,79772,genbank,species,79772,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena officinalis
197,Broad_bean,Pulses,Beans,3906,genbank,species,3906,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia faba
198,Azuki bean,Pulses,Beans,3914,genbank,species,3914,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna angularis
199,Vigna_mungo,Pulses,Beans,3915,genbank,species,3915,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna mungo
200,Mung bean,Pulses,Beans,157791,genbank,species,157791,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna radiata
201,Vigna umbellata,Pulses,Beans,87088,genbank,species,87088,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna umbellata
202,Cowpea,Pulses,Peas,3917,genbank,species,3917,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna unguiculata
203,Muscadine,Fruits,Berries,103349,genbank,species,103349,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis rotundifolia
204,Vitis vinifera,Fruits,Berries,29760,genbank,species,29760,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vinifera
205,Corn,Cereals and cereal products,Cereals,4577,genbank,species,4577,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays
206,Ginger,Herbs and Spices,Spices,94328,genbank,species,94328,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale
208,Banana,Fruits,Tropical fruits,4641,genbank,species,4641,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Musa acuminata
